img,N,Cin,Cout,K,t_torch_fp16_ms,t_triton_fp16_ms,speedup,err_max,err_mean,note
32,4,1,3,3,0.0776007333721888,0.6515685667788299,0.11909833796284067,0.001953125,0.00010371208190917969,
32,4,1,3,5,0.1341367666706598,0.8800798333444012,0.15241431696136606,0.001953125,8.159875869750977e-05,
32,4,1,3,7,0.1151429999784644,0.8009361667063786,0.14376052020719346,0.0009765625,5.2809715270996094e-05,
32,4,1,3,9,0.07007910001751345,0.6280428333411692,0.11158331294809103,0.001953125,8.755922317504883e-05,
32,4,1,3,11,0.07094540002678211,0.6350638333969982,0.11171380937769751,0.001953125,7.736682891845703e-05,
32,4,3,8,1,0.07272646665417899,0.7092380667018006,0.10254168532208363,0.001953125,7.110834121704102e-05,
32,4,3,8,3,0.06897599996591453,0.6425271999129715,0.10735109731581345,0.001953125,8.380413055419922e-05,
32,4,3,8,5,0.0832334000733681,0.632609833337483,0.13157146109198237,0.001953125,6.908178329467773e-05,
32,4,3,8,7,0.07061209992874258,0.708694333297899,0.09963689084425183,0.001953125,6.431341171264648e-05,
32,4,3,8,9,0.11409603333352909,0.6381069334262671,0.17880393920952878,0.001953125,6.61611557006836e-05,
32,4,3,8,11,0.13777566661398546,0.6150474332874486,0.22400819702241506,0.001953125,7.289648056030273e-05,
32,4,8,16,1,0.07392306664163091,0.6514868666272378,0.11346823770114092,0.001953125,6.29425048828125e-05,
32,4,8,16,3,0.10433883338312928,0.6357675333371541,0.1641147556488974,0.001953125,7.838010787963867e-05,
32,4,8,16,5,0.11245526669275326,0.7324482000209779,0.1535334057610251,0.001953125,8.499622344970703e-05,
32,4,8,16,7,0.10600730007960617,0.6521663333842298,0.16254641592661145,0.001953125,7.12275505065918e-05,
32,4,8,16,9,0.10431310001877137,0.7026795999991009,0.1484504460054125,0.001953125,7.75456428527832e-05,
32,4,8,16,11,0.1022030999592971,0.7586978333468627,0.13470856969295145,0.001953125,7.718801498413086e-05,
32,4,16,32,1,0.07181506662163883,0.6469688001137305,0.11100236457927258,0.001953125,8.243322372436523e-05,
32,4,16,32,3,0.10557216664892621,0.6351326332757404,0.16622066182370518,0.001953125,7.724761962890625e-05,
32,4,16,32,5,0.11048450008577977,0.8059401998859054,0.13708771457413435,0.001953125,8.022785186767578e-05,
32,4,16,32,7,0.17257809995498974,0.8060181999705188,0.21411191454647302,0.001953125,8.07642936706543e-05,
32,4,16,32,9,0.13302653339148188,0.7769960332855893,0.17120619371629048,0.001953125,8.171796798706055e-05,
32,4,16,32,11,0.1525243333162507,0.9033186666783877,0.16884886689777062,0.001953125,7.289648056030273e-05,
32,4,32,64,1,0.07267869999244188,0.6369083332780671,0.11411171152114785,0.001953125,7.796287536621094e-05,
32,4,32,64,3,0.10137753330733783,0.6492594666876054,0.15614332714245377,0.001953125,7.772445678710938e-05,
32,4,32,64,5,0.16834876660141163,0.6633996666399374,0.2537667337912359,0.001953125,7.301568984985352e-05,
32,4,32,64,7,0.2690783333188544,0.9165107333198345,0.29358994230671404,0.001953125,7.897615432739258e-05,
32,4,32,64,9,0.4016986000351608,1.2878491333443283,0.3119143303626077,0.001953125,7.581710815429688e-05,
32,4,32,64,11,0.33122403341015644,1.6145623332704417,0.20514787604343046,0.001953125,7.605552673339844e-05,
32,8,1,1,1,0.0683578333943539,0.5738467333382383,0.11912210948156124,0.001953125,0.00010955333709716797,
32,8,1,1,3,0.06797880002219851,0.5455731666491678,0.12460070285295474,0.0009765625,4.941225051879883e-05,
32,8,1,1,5,0.06712950004536349,0.5721132666318832,0.11733603109846577,0.001953125,8.004903793334961e-05,
32,8,1,1,7,0.06857489994824088,0.5641223999797754,0.1215603208642298,0.0009765625,5.4001808166503906e-05,
32,8,1,1,9,0.06990543333813548,0.7124194666782083,0.0981239797728758,0.0009765625,6.401538848876953e-05,
32,8,1,1,11,0.07479666661917388,0.6084516332824327,0.12292951900821764,0.0009765625,4.863739013671875e-05,
32,8,1,3,1,0.0696823333176629,0.6070750000314243,0.11478373069893488,0.001953125,7.033348083496094e-05,
32,8,1,3,3,0.07247333342093043,0.6136087333288742,0.11811000965999467,0.001953125,9.131431579589844e-05,
32,8,1,3,5,0.08179500000551343,0.6108989333976448,0.13389285122924194,0.001953125,7.832050323486328e-05,
32,8,1,3,7,0.07143333326287878,0.6069544334119806,0.1176914267868807,0.001953125,5.6684017181396484e-05,
32,8,1,3,9,0.07204449999941669,0.816089999959028,0.08828009166027485,0.001953125,8.90493392944336e-05,
32,8,1,3,11,0.0798272999721424,0.695088533393573,0.11484479478090108,0.0009765625,6.508827209472656e-05,
32,8,3,8,1,0.07335033333220053,0.8265187666741743,0.0887461196160792,0.001953125,0.00010645389556884766,
32,8,3,8,3,0.0724656333962533,0.6373768666283771,0.11369354174961674,0.001953125,7.700920104980469e-05,
32,8,3,8,5,0.08325446663851228,0.6209426666221892,0.1340775422816423,0.001953125,6.288290023803711e-05,
32,8,3,8,7,0.08316826667093362,0.6052983332968628,0.13740045543813606,0.001953125,8.362531661987305e-05,
