kernel,B,H,W,k,block,torch_time,triton_time,speedup,mae,max,rel_l2
3x3@16,64,16,16,3,128-64-32/8x2,3.6211092499797815,8.174013999996532,0.44300257498718715,7.57936795707792e-05,0.001953125,0.00035226538291661925
3x3@16,64,16,16,3,128-128-32/8x2,3.6211092499797815,8.06045039998935,0.44924403355730175,7.57936795707792e-05,0.001953125,0.00035226538291661925
3x3@16,64,16,16,3,128-128-64/8x2,3.6211092499797815,7.9633860000285495,0.4547197950679271,7.57936795707792e-05,0.001953125,0.00035226538291661925
3x3@16,64,16,16,3,128-64-32/8x3,3.6211092499797815,7.670716800021182,0.4720692139188064,7.57936795707792e-05,0.001953125,0.00035226538291661925
3x3@16,64,16,16,3,64-128-32/4x3,3.6211092499797815,6.63186459996723,0.5460167642743603,7.57936795707792e-05,0.001953125,0.00035226538291661925
3x3@16,64,16,16,3,64-64-32/2x2,3.6211092499797815,7.9940483000427776,0.45297565314440297,7.57936795707792e-05,0.001953125,0.00035226538291661925
3x3_s2@112,16,112,112,3,64-64-16/4x2,1.3696537000214448,4.471341899989056,0.30631826656440586,8.30424323794432e-05,0.001953125,0.00036212917046054985
3x3_s2@112,16,112,112,3,64-64-32/4x2,1.3696537000214448,3.721106149987463,0.3680770300051933,8.30424323794432e-05,0.001953125,0.00036212917046054985
3x3_s2@112,16,112,112,3,64-64-64/4x2,1.3696537000214448,3.3695576999889454,0.4064787791068063,8.30424323794432e-05,0.001953125,0.00036212917046054985
3x3_s2@112,16,112,112,3,64-128-32/4x2,1.3696537000214448,3.2778839499769674,0.41784691615792835,8.30424323794432e-05,0.001953125,0.00036212917046054985
3x3_s2@112,16,112,112,3,128-64-32/8x2,1.3696537000214448,4.000525499941432,0.3423684463557342,8.30424323794432e-05,0.001953125,0.00036212917046054985
3x3_s2@112,16,112,112,3,128-128-32/8x2,1.3696537000214448,3.489140550027514,0.3925475859694572,8.30424323794432e-05,0.001953125,0.00036212917046054985
3x3_s2@112,16,112,112,3,128-128-64/8x2,1.3696537000214448,3.637135600001784,0.376574824436233,8.30424323794432e-05,0.001953125,0.00036212917046054985
3x3_s2@112,16,112,112,3,128-64-32/8x3,1.3696537000214448,3.3593664500585874,0.40771190651069283,8.30424323794432e-05,0.001953125,0.00036212917046054985
3x3_s2@112,16,112,112,3,64-128-32/4x3,1.3696537000214448,3.034845749971282,0.4513091645710183,8.30424323794432e-05,0.001953125,0.00036212917046054985
3x3_s2@112,16,112,112,3,64-64-32/2x2,1.3696537000214448,3.370800250013417,0.40632894221957916,8.30424323794432e-05,0.001953125,0.00036212917046054985
3x3_dil2@56,16,56,56,3,64-64-16/4x2,1.0049311000329908,4.0202803499596484,0.24996542841672156,7.525333057856187e-05,0.001953125,0.000349297873322011
3x3_dil2@56,16,56,56,3,64-64-32/4x2,1.0049311000329908,3.3405735999622266,0.3008259120662254,7.525333057856187e-05,0.001953125,0.000349297873322011
3x3_dil2@56,16,56,56,3,64-64-64/4x2,1.0049311000329908,3.6647699500463204,0.27421396533233666,7.525333057856187e-05,0.001953125,0.000349297873322011
3x3_dil2@56,16,56,56,3,64-128-32/4x2,1.0049311000329908,3.1510974999946484,0.3189146321352156,7.525333057856187e-05,0.001953125,0.000349297873322011
3x3_dil2@56,16,56,56,3,128-64-32/8x2,1.0049311000329908,3.351395150002645,0.299854554612039,7.525333057856187e-05,0.001953125,0.000349297873322011
3x3_dil2@56,16,56,56,3,128-128-32/8x2,1.0049311000329908,3.489953799999057,0.2879496857618179,7.525333057856187e-05,0.001953125,0.000349297873322011
3x3_dil2@56,16,56,56,3,128-128-64/8x2,1.0049311000329908,3.369040950019553,0.29828402650527547,7.525333057856187e-05,0.001953125,0.000349297873322011
3x3_dil2@56,16,56,56,3,128-64-32/8x3,1.0049311000329908,3.4384796500489756,0.29226030173500583,7.525333057856187e-05,0.001953125,0.000349297873322011
3x3_dil2@56,16,56,56,3,64-128-32/4x3,1.0049311000329908,3.1811787000151526,0.3158989779568825,7.525333057856187e-05,0.001953125,0.000349297873322011
3x3_dil2@56,16,56,56,3,64-64-32/2x2,1.0049311000329908,3.591277849955077,0.27982549443941285,7.525333057856187e-05,0.001953125,0.000349297873322011
